11,4,69.3,80.1,0.19,3038.0,54.4,10,304,77.9,10.2,2.69,0
1,18,57.4,70.1,9.0,1208.0,143.4,27.5,18,40.6,15.2,2.07,0
6,9,80.3,102.8,-3.83,2052.0,358.1,186.4,159,31.2,3.6,1.84,0
7,3,32.9,32.2,-6.83,580.0,5.2,37.2,183,45.4,10.8,2.2,1
2,28,55.9,68.7,-3.99,2869.0,90.8,163.3,58,64.0,11.1,3.33,0
3,18,44.9,54.4,-6.74,200,415.9,71.2,78,40.3,4.9,0.24,0
4,27,70.4,81.4,-2.61,2297.0,396.7,76.9,117,48.5,13.4,0.24,0
5,5,79.3,89.5,8.27,1665.0,325.6,168.5,125,47.9,10.7,5.4,0
2,25,63.3,74.1,-11.87,732.0,128.6,130.2,55,11.0,17.0,0,0
1,22,46.3,54.6,-13.9,1137.0,145.2,101.5,22,52.5,4.0,2.44,0
12,9,85.0,93.2,-5.79,1732.0,4.4,38.4,339,46.7,7.9,1.58,0
9,30,62.6,77.9,-1.97,3577.0,200.7,201.9,270,33.9,7.5,2.32,0
2,3,51.2,50.2,7.77,1614.0,291.0,182.6,33,71.4,7.2,0.65,0
9,25,50.7,60.2,-7.32,762.0,529.7,82.1,265,42.6,6.0,1.94,0
6,1,43.9,51.6,-1.43,2052.0,108.2,88.3,151,92.8,3.6,2.67,0
4,18,60.7,80.2,11.84,934.0,108.4,143.5,108,24.5,8.7,2.42,0
7,14,26.5,38.5,-12.67,200,266.3,155.3,194,38.8,14.7,2.01,0
7,6,66.7,75.9,3.97,2517.0,106.8,168.8,186,40.7,22.5,3.19,0
2,30,55.3,60.9,-9.63,2259.0,337.8,22.7,60,60.7,8.2,0.24,0
5,14,81.1,87.9,-14.23,1995.0,-5.8,81.2,134,61.1,8.3,2.34,0
1,24,52.8,64.6,-19.76,2011.0,126.7,116.0,24,21.0,7.6,2.34,0
7,4,57.8,75.1,-5.73,1550.0,150.7,196.4,184,74.4,4.8,1.65,1
11,23,49.4,63.7,5.84,2594.0,-99.1,156.6,323,62.5,7.8,1.07,0
9,7,39.0,45.8,-2.16,1574.0,203.8,121.8,247,76.4,3.4,2.47,0
11,17,88.1,98.6,-5.6,2874.0,226.8,107.9,317,67.1,9.3,1.25,0
12,11,50.3,62.7,8.87,1669.0,305.4,216.1,341,38.3,11.5,2.58,0
1,11,58.4,59.9,-2.99,3062.0,46.8,99.8,11,67.9,8.1,3.61,0
6,19,28.9,32.9,-4.75,2486.0,196.7,266.6,169,38.1,11.6,2.23,0
11,4,41.0,57.1,13.24,220.0,166.1,10,304,61.0,10.4,2.19,0
3,24,44.3,63.6,-8.38,738.0,261.1,115.8,84,45.0,11.4,3.31,0
1,28,43.2,53.9,4.47,1386.0,271.2,10.2,28,65.0,13.8,1.35,0
5,12,63.7,69.9,-8.27,2735.0,149.4,147.6,132,56.3,10.5,1.88,0
5,2,69.9,83.9,-2.93,1062.0,54.2,75.6,122,40.3,11.5,1.95,1
9,22,83.3,91.4,-14.93,1386.0,66.7,200.2,262,72.6,6.3,2.76,0
12,29,50.2,65.1,-8.81,2192.0,149.3,150.0,359,18.3,12.6,1.05,0
5,13,20.1,29.9,-2.07,1555.0,290.8,43.3,133,46.0,3.8,2.24,1
8,26,81.1,84.9,-0.37,2045.0,-2.1,111.8,236,41.2,14.4,2.01,1
4,5,28.1,42.5,-1.08,211.0,203.4,175.7,95,69.1,6.2,1.52,0
8,13,56.0,74.8,11.33,1796.0,174.2,91.7,223,48.9,9.1,3.17,1
4,30,49.3,63.1,-9.2,2127.0,-1.9,200.5,120,58.0,16.0,1.35,0
12,29,21.1,30.8,-18.3,1244.0,161.6,52.0,359,59.1,11.0,0.89,0
11,8,31.7,41.3,1.17,1608.0,260.2,88.3,308,82.6,9.9,2.55,0
12,7,71.9,84.3,-10.0,1531.0,200.6,180.4,337,81.9,5.0,1.34,0
7,16,21.6,37.2,-1.72,1784.0,-68.1,179.9,196,54.0,7.9,0.74,0
4,16,58.7,75.0,5.12,1881.0,114.4,64.9,106,71.4,11.9,2.97,1
7,19,73.1,81.8,-2.74,1480.0,116.4,101.3,199,61.5,6.0,2.47,1
7,9,55.4,54.1,-2.05,2081.0,315.3,129.1,189,78.6,8.0,0.98,0
1,31,29.6,39.8,13.29,1323.0,105.8,90.8,31,61.6,12.2,1.64,0
6,6,18.5,19.0,-4.74,390.0,220.4,164.4,156,19.5,3.6,0.06,0
12,7,37.0,55.2,3.63,1491.0,127.1,136.5,337,21.4,6.4,1.7,0
1,12,29.1,37.3,8.49,2235.0,291.9,125.0,12,38.7,8.3,0.63,0
3,14,83.9,97.2,6.69,1102.0,32.4,210.6,74,43.3,0.7,2.41,0
6,28,56.2,80.2,-3.58,2611.0,167.5,42.1,178,51.1,4.8,1.11,0
6,26,55.6,65.3,4.47,394.0,26.6,52.1,176,51.7,9.1,2.69,0
9,25,56.2,73.0,-4.07,903.0,266.6,125.4,265,47.7,9.7,1.51,0
6,14,40.2,57.8,-2.21,1225.0,272.9,104.9,164,73.6,7.4,1.14,0
12,6,65.6,84.8,-3.77,2803.0,177.4,39.3,336,97.5,7.1,1.73,0
12,18,71.3,82.6,-0.26,2376.0,200.5,200.3,348,50.2,8.0,1.53,1
5,16,38.7,49.4,3.96,1619.0,205.1,97.4,136,81.3,9.9,0.65,1
10,31,42.2,45.8,22.11,2751.0,305.2,36.7,301,38.1,8.7,3.2,0
8,10,89.9,85.9,-5.8,2798.0,14.9,57.4,220,72.9,7.1,2.36,1
3,18,80.7,91.1,-1.73,728.0,216.3,108.8,78,74.0,6.3,0.5,0
11,8,83.1,88.2,-10.32,917.0,282.5,94.4,308,32.2,6.4,3.57,1
3,26,36.7,43.2,10.44,1151.0,125.3,185.1,86,81.5,5.0,0,0
8,15,59.5,70.3,-8.42,2042.0,166.9,146.3,225,96.9,6.2,0,0
11,27,34.9,44.7,0.28,1786.0,31.8,42.5,327,23.7,10.2,3.21,0
8,3,36.9,48.1,-3.62,2089.0,232.7,172.3,213,30.5,8.2,0.63,1
